================================================================================
FLIP CHUNK EXPERIMENTS - ACCURACY COMPARISON
================================================================================

Problem ID: problem_1591
Ground Truth: 6.17

Chunk Index     Control Correct %    Experiment Correct  
-------------------------------------------------------
0               76.00%               True                
1               71.00%               False               
2               80.00%               True                
3               77.00%               False               
4               78.00%               True                
5               70.00%               True                
6               77.00%               False               
7               69.00%               False               
8               68.00%               False               
9               75.00%               False               
10              74.00%               True                
11              72.00%               False               
12              77.00%               True                
13              75.00%               True                
14              82.00%               False               
15              77.00%               True                
16              63.00%               True                
17              61.00%               True                
18              68.00%               True                
19              62.00%               True                
20              74.00%               True                
21              68.00%               True                
22              69.00%               True                
23              73.00%               True                
24              73.00%               True                
25              68.00%               True                
26              71.00%               True                
27              76.00%               True                
28              71.00%               False               
29              67.00%               True                
30              82.00%               True                
31              69.00%               True                
32              71.00%               True                
33              70.00%               True                
34              75.00%               True                
35              65.00%               True                
36              72.00%               True                
37              76.00%               False               
38              75.00%               True                
39              77.00%               True                
40              70.00%               True                
41              75.00%               True                
42              75.00%               False               
43              79.00%               True                
44              77.00%               True                
45              81.00%               False               
46              91.00%               False               
47              90.00%               True                
48              91.00%               False               
49              94.00%               True                
50              88.00%               True                
51              80.00%               True                
52              91.00%               True                
53              89.00%               True                
54              80.00%               True                
55              84.00%               True                
56              92.00%               False               
57              88.00%               True                
58              93.00%               False               
59              87.00%               False               
60              89.00%               True                
61              86.00%               True                
62              92.00%               False               
63              89.00%               True                
64              86.00%               True                
65              95.00%               False               
66              92.00%               False               
67              92.00%               False               
68              88.00%               False               
69              88.00%               False               
70              88.00%               False               
71              85.00%               False               
72              93.00%               False               
73              92.00%               True                
74              85.00%               False               
75              84.00%               False               
76              88.00%               False               
77              81.00%               False               
78              100.00%              False               
79              100.00%              False               
80              100.00%              False               
81              100.00%              False               
82              100.00%              False               
83              100.00%              True                
84              100.00%              False               
85              100.00%              False               
86              100.00%              False               
87              100.00%              False               
88              100.00%              False               
89              100.00%              False               
90              100.00%              False               
91              100.00%              False               
92              100.00%              False               
93              100.00%              False               
94              100.00%              False               
95              100.00%              False               
96              100.00%              False               
97              100.00%              False               
98              100.00%              False               
99              100.00%              True                
100             100.00%              False               
101             62.00%               False               
102             56.00%               False               
103             54.00%               False               
104             53.00%               False               
105             47.00%               False               
106             59.00%               False               
107             57.00%               False               
108             67.00%               False               
109             62.00%               False               
110             60.00%               False               
111             60.00%               False               
112             58.00%               True                
113             56.00%               False               
114             60.00%               False               
115             61.00%               False               
116             55.00%               False               
117             62.00%               False               
118             66.00%               True                
119             60.00%               False               
120             64.00%               False               
121             61.00%               False               
122             61.00%               False               
123             39.00%               False               
124             48.00%               False               
125             48.00%               False               
126             61.00%               False               
127             50.00%               True                
128             60.00%               False               
129             55.00%               False               
130             46.00%               True                
131             39.00%               False               
132             41.00%               False               
133             27.00%               False               
134             8.00%                False               
135             6.00%                False               
136             4.00%                False               
137             1.00%                False               
138             8.00%                False               
139             8.00%                False               
140             7.00%                True                
141             6.00%                False               
142             3.00%                False               
143             1.00%                False               
144             5.00%                False               
145             12.00%               False               
146             3.00%                True                
147             10.00%               False               
148             6.00%                False               
149             0.00%                False               
150             1.00%                False               
151             1.00%                False               

-------------------------------------------------------
Overall Accuracy 0.3684 (56/152)

Control Overall 0.6834 (across all chunks)
Flip Overall    0.3684 (56/152)
Control vs Flip Control: 0.6834, Flip: 0.3684, Diff: -0.3149

================================================================================
