================================================================================
FLIP CHUNK EXPERIMENTS - ACCURACY COMPARISON
================================================================================

Problem ID: problem_1591
Ground Truth: 6.17

Chunk Index     Experiment Correct   Status         
--------------------------------------------------
0               True                 ✓ Correct      
1               False                ✗ Incorrect    
2               True                 ✓ Correct      
3               False                ✗ Incorrect    
4               True                 ✓ Correct      
5               True                 ✓ Correct      
6               False                ✗ Incorrect    
7               False                ✗ Incorrect    
8               False                ✗ Incorrect    
9               False                ✗ Incorrect    
10              True                 ✓ Correct      
11              False                ✗ Incorrect    
12              True                 ✓ Correct      
13              True                 ✓ Correct      
14              False                ✗ Incorrect    
15              True                 ✓ Correct      
16              True                 ✓ Correct      
17              True                 ✓ Correct      
18              True                 ✓ Correct      
19              True                 ✓ Correct      
20              True                 ✓ Correct      
21              True                 ✓ Correct      
22              True                 ✓ Correct      
23              True                 ✓ Correct      
24              True                 ✓ Correct      
25              True                 ✓ Correct      
26              True                 ✓ Correct      
27              True                 ✓ Correct      
28              False                ✗ Incorrect    
29              True                 ✓ Correct      
30              True                 ✓ Correct      
31              True                 ✓ Correct      
32              True                 ✓ Correct      
33              True                 ✓ Correct      
34              True                 ✓ Correct      
35              True                 ✓ Correct      
36              True                 ✓ Correct      
37              False                ✗ Incorrect    
38              True                 ✓ Correct      
39              True                 ✓ Correct      
40              True                 ✓ Correct      
41              True                 ✓ Correct      
42              False                ✗ Incorrect    
43              True                 ✓ Correct      
44              True                 ✓ Correct      
45              False                ✗ Incorrect    
46              False                ✗ Incorrect    
47              True                 ✓ Correct      
48              False                ✗ Incorrect    
49              True                 ✓ Correct      
50              True                 ✓ Correct      
51              True                 ✓ Correct      
52              True                 ✓ Correct      
53              True                 ✓ Correct      
54              True                 ✓ Correct      
55              True                 ✓ Correct      
56              False                ✗ Incorrect    
57              True                 ✓ Correct      
58              False                ✗ Incorrect    
59              False                ✗ Incorrect    
60              True                 ✓ Correct      
61              True                 ✓ Correct      
62              False                ✗ Incorrect    
63              True                 ✓ Correct      
64              True                 ✓ Correct      
65              False                ✗ Incorrect    
66              False                ✗ Incorrect    
67              False                ✗ Incorrect    
68              False                ✗ Incorrect    
69              False                ✗ Incorrect    
70              False                ✗ Incorrect    
71              False                ✗ Incorrect    
72              False                ✗ Incorrect    
73              True                 ✓ Correct      
74              False                ✗ Incorrect    
75              False                ✗ Incorrect    
76              False                ✗ Incorrect    
77              False                ✗ Incorrect    
78              False                ✗ Incorrect    
79              False                ✗ Incorrect    
80              False                ✗ Incorrect    
81              False                ✗ Incorrect    
82              False                ✗ Incorrect    
83              True                 ✓ Correct      
84              False                ✗ Incorrect    
85              False                ✗ Incorrect    
86              False                ✗ Incorrect    
87              False                ✗ Incorrect    
88              False                ✗ Incorrect    
89              False                ✗ Incorrect    
90              False                ✗ Incorrect    
91              False                ✗ Incorrect    
92              False                ✗ Incorrect    
93              False                ✗ Incorrect    
94              False                ✗ Incorrect    
95              False                ✗ Incorrect    
96              False                ✗ Incorrect    
97              False                ✗ Incorrect    
98              False                ✗ Incorrect    
99              True                 ✓ Correct      
100             False                ✗ Incorrect    
101             False                ✗ Incorrect    
102             False                ✗ Incorrect    
103             False                ✗ Incorrect    
104             False                ✗ Incorrect    
105             False                ✗ Incorrect    
106             False                ✗ Incorrect    
107             False                ✗ Incorrect    
108             False                ✗ Incorrect    
109             False                ✗ Incorrect    
110             False                ✗ Incorrect    
111             False                ✗ Incorrect    
112             True                 ✓ Correct      
113             False                ✗ Incorrect    
114             False                ✗ Incorrect    
115             False                ✗ Incorrect    
116             False                ✗ Incorrect    
117             False                ✗ Incorrect    
118             True                 ✓ Correct      
119             False                ✗ Incorrect    
120             False                ✗ Incorrect    
121             False                ✗ Incorrect    
122             False                ✗ Incorrect    
123             False                ✗ Incorrect    
124             False                ✗ Incorrect    
125             False                ✗ Incorrect    
126             False                ✗ Incorrect    
127             True                 ✓ Correct      
128             False                ✗ Incorrect    
129             False                ✗ Incorrect    
130             True                 ✓ Correct      
131             False                ✗ Incorrect    
132             False                ✗ Incorrect    
133             False                ✗ Incorrect    
134             False                ✗ Incorrect    
135             False                ✗ Incorrect    
136             False                ✗ Incorrect    
137             False                ✗ Incorrect    
138             False                ✗ Incorrect    
139             False                ✗ Incorrect    
140             True                 ✓ Correct      
141             False                ✗ Incorrect    
142             False                ✗ Incorrect    
143             False                ✗ Incorrect    
144             False                ✗ Incorrect    
145             False                ✗ Incorrect    
146             True                 ✓ Correct      
147             False                ✗ Incorrect    
148             False                ✗ Incorrect    
149             False                ✗ Incorrect    
150             False                ✗ Incorrect    
151             False                ✗ Incorrect    

--------------------------------------------------
Overall Accuracy 0.3684 (56/152)

Control         ✗ Incorrect     (Answer: 6.07)
Flip Overall    0.3684 (56/152)
Control vs Flip Control: 0.0000, Flip: 0.3684, Diff: +0.3684

================================================================================
